date,Default,Fully Paid
2007-06-01,3458.3333333333335,3879.7619047619046
2007-07-01,8103.571428571428,5207.142857142857
2007-08-01,9416.25,6055.092592592592
2007-09-01,7111.538461538462,7012.5
2007-10-01,7686.029411764706,6928.169014084507
2007-11-01,10130.882352941177,8515.384615384615
2007-12-01,12735.63829787234,10308.8
2008-01-01,10731.845238095239,9160.746606334842
2008-02-01,12170.901639344262,9048.163265306122
2008-03-01,12150.561797752809,9803.993610223642
2008-04-01,9396.42857142857,9397.448979591836
2008-05-01,5692.0,5406.666666666667
2008-06-01,5378.409090909091,5312.254901960784
2008-07-01,7367.5,5724.774774774774
2008-08-01,6818.75,5802.556818181818
2008-09-01,5650.0,5556.914893617021
2008-10-01,9100.0,7638.118811881188
2008-11-01,11294.871794871795,9555.29411764706
2008-12-01,10390.0,10100.352112676057
2009-01-01,9890.853658536585,9055.263157894737
2009-02-01,9793.292682926829,8863.60153256705
2009-03-01,10045.731707317073,9361.925795053003
2009-04-01,10340.30612244898,9059.154929577464
2009-05-01,10018.627450980392,9520.616883116883
2009-06-01,10027.586206896553,8651.436781609196
2009-07-01,10239.655172413793,9298.15864022663
2009-08-01,11796.0,9416.287878787878
2009-09-01,10762.878787878788,9970.238095238095
2009-10-01,12324.0,10033.829365079366
2009-11-01,10305.41237113402,10352.654867256637
2009-12-01,9631.69014084507,10975.511073253832
2010-01-01,11364.945652173914,11123.464912280702
2010-02-01,10895.666666666666,10943.698517298188
2010-03-01,10294.252873563219,10484.68286099865
2010-04-01,10198.514851485148,10456.874229346486
2010-05-01,11301.5625,10628.076923076924
2010-06-01,9674.107142857143,10201.787678767876
2010-07-01,9702.044025157233,9946.291866028709
2010-08-01,10807.703488372093,10212.313060817547
2010-09-01,10399.271844660194,10285.198372329603
2010-10-01,10680.15873015873,10655.39309683605
2010-11-01,11408.714285714286,10948.474737845567
2010-12-01,10747.360248447205,10697.338160136285
2011-01-01,10992.338709677419,10703.5175879397
2011-02-01,12135.94674556213,11116.2976085031
2011-03-01,12580.47619047619,11248.323909531502
2011-04-01,12962.837837837838,10935.365398956003
2011-05-01,11811.379310344828,11246.570014144272
2011-06-01,12602.767527675276,11205.14705882353
2011-07-01,12958.95390070922,11100.54927809165
2011-08-01,11991.328413284133,12025.18039687312
2011-09-01,13600.324675324675,12307.418988061398
2011-10-01,13913.178913738018,12813.14404432133
2011-11-01,14751.889534883721,12318.829449152543
2011-12-01,14808.120649651972,13758.278867102397
2012-01-01,14633.636363636364,12849.988436632748
2012-02-01,15421.496437054631,13822.21832632071
2012-03-01,14636.794582392777,13376.042088223392
2012-04-01,14053.074596774193,12831.309436722751
2012-05-01,14672.97891036907,12978.417520310844
2012-06-01,15054.271708683473,12721.728971962617
2012-07-01,13900.854700854701,12843.940388655463
2012-08-01,14070.786199095022,12710.049614112459
2012-09-01,13836.3301787592,12435.630841121496
2012-10-01,14648.466735966736,12818.392756083758
2012-11-01,15028.15840621963,13487.642496729582
2012-12-01,16600.60307017544,15310.064115018457
2013-01-01,16505.605916030534,15000.008673026887
2013-02-01,16865.901213171575,15428.17775974026
2013-03-01,16009.62667785235,14942.38791567696
2013-04-01,15958.093163538873,14314.424226324878
2013-05-01,15308.588235294117,13690.17999265336
2013-06-01,15649.971247843589,13823.435504469988
2013-07-01,15116.588913282108,13742.470326409495
2013-08-01,14852.350765979925,13663.966466466467
2013-09-01,15192.2875,13875.410160110694
2013-10-01,15484.937238493723,13806.848094324101
2013-11-01,15480.658014571949,14131.377837231379
2013-12-01,15846.662895927602,14321.536272511043
2014-01-01,15437.589248215036,14417.315937010471
2014-02-01,15432.753623188406,14544.760117352662
2014-03-01,15560.547320410491,14175.283839278525
2014-04-01,15311.92638623327,13958.812260536399
2014-05-01,15203.951972010178,13855.096707672616
2014-06-01,15567.30115567641,13962.320748602448
2014-07-01,15512.955755837771,13841.81152251743
2014-08-01,15539.762587635436,14093.839207690067
2014-09-01,15236.637193382772,14133.554524058578
2014-10-01,15002.645102781136,13779.202211401165
2014-11-01,15306.027839920458,13787.383123960306
2014-12-01,15305.035392535392,14205.107602012298
2015-01-01,15500.647375738617,14214.194943744676
2015-02-01,15663.63269696155,14919.36831403059
2015-03-01,15499.902008819206,14729.294680477527
2015-04-01,15395.840137906007,14634.165417454215
2015-05-01,15442.638160548608,14632.28075316873
2015-06-01,15420.75580059729,14534.898444252376
2015-07-01,15582.954545454546,14635.89613314292
2015-08-01,15812.060866013071,14972.732051667168
2015-09-01,15848.533519553073,15230.274814250333
2015-10-01,15557.150673400673,14741.022532800913
2015-11-01,15663.157894736842,14673.4827099506
2015-12-01,15643.11044460127,14541.55729778269
2016-01-01,16709.96077901001,15511.88623622656
2016-02-01,16440.381135489708,15132.254049949375
2016-03-01,15697.767725801707,14794.981184788187
2016-04-01,14744.945824524313,14403.309940295381
2016-05-01,15209.636622728893,14173.834105913751
2016-06-01,15956.387434554974,14334.408444078561
2016-07-01,15389.9081063341,13719.699779761215
2016-08-01,15653.6401820091,14063.809854267869
2016-09-01,15591.662512462612,13623.142772070865
2016-10-01,15089.552451539339,13776.134089392928
2016-11-01,15457.905604719765,13779.905701122949
2016-12-01,15224.019607843138,13649.992607924305
2017-01-01,15484.54128440367,14233.328848223897
2017-02-01,15307.243935309973,14452.067073170732
2017-03-01,15991.606498194946,14063.125633232015
2017-04-01,15587.189716312057,13817.203291943402
2017-05-01,15524.081632653062,13740.554976550287
2017-06-01,14059.731012658227,13723.597056117755
2017-07-01,14992.931937172774,13443.622174381055
2017-08-01,13682.242990654206,13368.40937896071
2017-09-01,17635.526315789473,14183.530600461894
